,Date, Open, High, Low, Close
181,04/12/19,1048.93,1039.31,1039.31,1039.31
182,04/11/19,1062.37,1049.49,1049.49,1049.49
183,04/10/19,1060.94,1062.35,1062.35,1062.35
184,04/09/19,1065.04,1060.94,1060.94,1060.94
185,04/08/19,1065.28,1065.1,1065.1,1065.1
186,04/05/19,1057.9,1065.28,1065.28,1065.28
187,04/04/19,1060.27,1057.84,1057.84,1057.84
188,04/03/19,1061.77,1060.41,1060.41,1060.41
189,04/02/19,1064.27,1061.7,1061.7,1061.7
190,04/01/19,1062.6,1064.24,1064.24,1064.24
191,03/29/19,1050.07,1062.47,1062.47,1062.47
192,03/28/19,1047.18,1050.07,1050.07,1050.07
193,03/27/19,1055.89,1047.3,1047.3,1047.3
194,03/26/19,1048.87,1055.88,1055.88,1055.88
195,03/25/19,1049.43,1048.7,1048.7,1048.7
196,03/22/19,1068.58,1049.44,1049.44,1049.44
197,03/21/19,1064.78,1068.66,1068.66,1068.66
198,03/20/19,1072.17,1064.97,1064.97,1064.97
199,03/19/19,1063.85,1072.17,1072.17,1072.17
200,03/18/19,1065.44,1063.83,1063.83,1063.83
201,03/15/19,1060.18,1065.44,1065.44,1065.44
202,03/14/19,1062.22,1060.23,1060.23,1060.23
203,03/13/19,1051.34,1062.93,1062.93,1062.93
204,03/12/19,1044.36,1051.32,1051.32,1051.32
205,03/11/19,1032.29,1044.33,1044.33,1044.33
206,03/08/19,1034.46,1032.22,1032.22,1032.22
207,03/07/19,1043.05,1034.76,1034.76,1034.76
208,03/06/19,1058.72,1043.04,1043.04,1043.04
209,03/05/19,1059.47,1058.64,1058.64,1058.64
210,03/04/19,1073.73,1059.39,1059.39,1059.39
211,03/01/19,1059.01,1073.74,1073.74,1073.74
212,02/28/19,1062.33,1058.77,1058.77,1058.77
213,02/27/19,1067.17,1061.97,1061.97,1061.97
214,02/26/19,1070.47,1067.19,1067.19,1067.19
215,02/25/19,1069.4,1070.57,1070.57,1070.57
216,02/22/19,1060.07,1070.06,1070.06,1070.06
217,02/21/19,1069.44,1060.16,1060.16,1060.16
218,02/20/19,1070.89,1069.57,1069.57,1069.57
219,02/19/19,1073.53,1070.95,1070.95,1070.95
220,02/15/19,1058.24,1073.62,1073.62,1073.62
221,02/14/19,1054.99,1058.05,1058.05,1058.05
222,02/13/19,1053.07,1055.58,1055.58,1055.58
223,02/12/19,1039.1,1052.99,1052.99,1052.99
224,02/11/19,1040.41,1039.02,1039.02,1039.02
225,02/08/19,1039.17,1040.39,1040.39,1040.39
226,02/07/19,1049.58,1038.49,1038.49,1038.49
